Тестовые данные,Строковый,Токенизация,AST,Среднее значение
A,100.0,100.0,100.0,100.0
B,27.88339670468948,100.0,99.61008292602558,75.83115987690502
C,21.511273613650214,100.0,96.36602451838881,72.625766044013
D,0.0,100.0,90.06120348805722,63.35373449601908
E,83.4967320261438,73.0,90.81430507767699,82.43701236794027
F,90.41095890410956,96.0,87.8550979960361,91.42201896671521
G,73.14814814814815,70.0,79.31394015222604,74.15402943345806
H,0.0,70.0,67.66894145415361,45.88964715138454
