Тестовые данные,Строковый,Токенизация,AST,Среднее значение
A,12.39783763885498,2.170586585998535,2.1020889282226562,5.556837717692058
B,10.030770301818848,2.0964622497558594,2.1175622940063477,4.7482649485270185
C,9.981751441955566,2.0459890365600586,2.0708799362182617,4.699540138244629
D,3.5588979721069336,2.1575212478637695,2.0366907119750977,2.584369977315267
E,21.80173397064209,2.17740535736084,2.1492719650268555,8.709470431009928
F,12.940382957458496,1.9850969314575195,3.455471992492676,6.1269839604695635
G,21.674036979675293,2.1261215209960938,2.0539283752441406,8.61802895863851
H,3.618454933166504,2.229762077331543,2.051854133605957,2.633357048034668
