Тестовые данные,Строковый,Токенизация,AST,Среднее значение
1,4.700160026550293,20.314908027648926,12.500905990600586,12.505324681599935
2,3.1121015548706055,21.87671661376953,21.87669277191162,15.62183698018392
3,4.7008514404296875,22.954273223876953,26.33521556854248,17.996780077616375
4,4.675817489624023,20.327043533325195,26.56536102294922,17.189407348632812
5,10.938215255737305,24.99392032623291,23.439478874206543,19.790538152058918
6,7.813143730163573,21.872544288635254,17.20149517059326,15.629061063130697
7,12.52443790435791,23.446059226989746,27.216172218322754,21.062223116556805
8,3.101778030395508,26.564550399780273,35.94024181365967,21.86885674794515
