Тестовые данные,Строковый,Токенизация,AST,Среднее значение
1,4.687833786010742,20.917153358459473,12.501049041748047,12.702012062072754
2,4.687905311584473,21.87657356262207,23.439311981201172,16.667930285135906
3,4.686903953552246,23.43928813934326,25.333046913146973,17.819746335347492
4,3.126049041748047,25.001978874206543,29.69064712524414,19.272891680399578
5,12.50011920928955,26.398921012878418,23.439383506774902,20.77947457631429
6,6.251406669616699,21.875762939453125,15.626192092895508,14.584453900655111
7,10.938572883605957,25.001955032348633,26.082754135131836,20.67442735036214
8,4.678106307983398,28.12807559967041,35.94028949737549,22.915490468343098
