Тестовые данные,Строковый,Токенизация,AST,Среднее значение
1,97.62764311500773,100,100.0,99.20921437166925
2,27.872983870967744,100,99.61008292602558,75.82768893233111
3,18.66145578895945,100,96.3660245183888,71.67582676911609
4,6.210902591599642,100,90.0612034880572,65.42403535988562
5,83.06274681878017,100,90.81430507767699,91.29235063215238
6,86.84889118102114,78,84.75005505395288,83.19964874499134
7,73.8920579201404,78,76.61349181524346,76.1685165784613
8,3.869407496977025,78,69.77919933966157,50.54953561221286
